# test subtest run checkout repeat value unit host
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650067200 003 3649423500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650067200 004 3548789000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650153600 000 3525352500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650153600 001 3599404375 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650153600 002 3635526750 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650153600 003 3490313000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650153600 004 3605420750 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650240000 000 3585304375 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650240000 001 3595982000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650240000 002 3664511500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650240000 003 3585729625 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650240000 004 3642873000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650326400 000 3674738625 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650326400 001 3564503750 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650326400 002 3555826000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650326400 003 3596834750 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650326400 004 3587011375 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650412800 000 3667164000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650412800 001 3624898375 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650412800 002 3702810250 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650412800 003 3705747125 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650412800 004 3634059000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650499200 000 3705308500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650499200 001 3664581000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650499200 002 3701768625 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650499200 003 3681012500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650499200 004 3673844875 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650585600 000 3761579250 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650585600 001 3763490000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650585600 002 3724657500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650585600 003 3742085500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650585600 004 3763961250 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650672000 000 3615462625 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650672000 001 3601313000 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650672000 002 3635371500 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650672000 003 3680004375 bits/sec ot14
tcpbench_-S1000000_-t10_-n100_10.3.45.35 sender 1650694743 1650672000 004 3581475500 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650067200 000 3635095125 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650067200 001 3491823625 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650067200 002 3465543000 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650067200 003 3478712375 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650067200 004 3614796875 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650153600 000 3459209000 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650153600 001 3600745500 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650153600 002 3615661125 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650153600 003 3526225000 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650153600 004 3491205500 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650240000 000 3539164375 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650240000 001 3541983875 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650240000 002 3423900250 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650240000 003 3509347250 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650240000 004 3472981875 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650326400 000 3487259500 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650326400 001 3560736625 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650326400 002 3658481625 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650326400 003 3471862125 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650326400 004 3575050625 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650412800 000 3607705000 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650412800 001 3503030375 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650412800 002 3479695125 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650412800 003 3501788750 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650412800 004 3609564000 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650499200 000 3473254000 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650499200 001 3476086625 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650499200 002 3636723750 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650499200 003 3529616000 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650499200 004 3644065375 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650585600 000 3603148250 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650585600 001 3690072500 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650585600 002 3596651875 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650585600 003 3555468375 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650585600 004 3773964125 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650672000 000 3481815625 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650672000 001 3511981375 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650672000 002 3573983000 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650672000 003 3618396750 bits/sec ot14
tcpbench_-S1000000_-t10_10.3.45.35 sender 1650694743 1650672000 004 3503155375 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650885598 1650585600 000 3430000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650885598 1650585600 001 3440000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650885598 1650585600 002 3630000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650885598 1650585600 003 3440000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650885598 1650585600 004 3640000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650885598 1650587275 000 3410000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650885598 1650587275 001 3540000000 bits/sec ot14
iperf3_-c10.3.45.35_-w1m_-t10 receiver 1650885598 1650587275 002 3400000000 bits/sec ot14
